Year,Kenya Population
1950,6076758
1951,6242098
1952,6415961
1953,6598170
1954,6788707
1955,6987658
1956,7195226
1957,7411765
1958,7637713
1959,7873623
1960,8120080
1961,8377696
1962,8647011
1963,8928511
1964,9222692
1965,9530173
1966,9851444
1967,10187478
1968,10539894
1969,10910675
1970,11301394
1971,11713048
1972,12146068
1973,12600797
1974,13077341
1975,13575907
1976,14096263
1977,14638890
1978,15205374
1979,15797776
1980,16417197
1981,17063876
1982,17736326
1983,18431761
1984,19146400
1985,19877083
1986,20622560
1987,21382112
1988,22153676
1989,22935092
1990,23724579
1991,24521703
1992,25326078
1993,26136216
1994,26950513
1995,27768296
1996,28589451
1997,29415659
1998,30250488
1999,31098757
2000,31964557
2001,32848564
2002,33751739
2003,34678779
2004,35635271
2005,36624895
2006,37649033
2007,38705932
2008,39791981
2009,40901792
2010,42030676
2011,43178274
2012,44343467
2013,45519981
2014,46700055
2015,47878336
2016,49051534
2017,50221142
2018,51392565
2019,52573973
2020,53771296
