Year,Sudan Population
1950,5733789
1951,5884664
1952,6041325
1953,6204099
1954,6373308
1955,6549298
1956,6732437
1957,6923115
1958,7121741
1959,7328718
1960,7544491
1961,7769482
1962,8004121
1963,8248812
1964,8503994
1965,8770097
1966,9047798
1967,9337657
1968,9639840
1969,9954410
1970,10281700
1971,10621472
1972,10974622
1973,11343926
1974,11732958
1975,12144135
1976,12578407
1977,13034625
1978,13510421
1979,14002303
1980,14507468
1981,15027248
1982,15562125
1983,16107620
1984,16657959
1985,17210187
1986,17757491
1987,18303435
1988,18867560
1989,19476647
1990,20147590
1991,20891441
1992,21696244
1993,22527834
1994,23338464
1995,24094747
1996,24782383
1997,25413917
1998,26015521
1999,26626520
2000,27275015
2001,27971082
2002,28704778
2003,29460519
2004,30214193
2005,30949516
2006,31661823
2007,32360621
2008,33060837
2009,33783788
2010,34545013
2011,35349681
2012,36193783
2013,37072550
2014,37977655
2015,38902950
2016,39847439
2017,40813397
2018,41801533
2019,42813238
2020,43849260
